make,model,price
Ford,Focus,$21780.48
Hyundai,Entourage,$16996.08
Pontiac,Bonneville,$20087.29
Cadillac,DeVille,$48724.20
Spyker,C8,$28116.42
Ford,Laser,$25966.58
Ford,F150,$38431.44
Chrysler,PT Cruiser,$22241.32
Aston Martin,Vantage,$18970.28
Subaru,XT,$34925.95
Mercury,Sable,$20993.18
Kia,Sportage,$12346.09
GMC,Sierra 1500,$49002.39
Ford,F250,$34502.41
Kia,Spectra5,$48439.52
Dodge,Intrepid,$23297.46
Mercury,Villager,$11275.69
Toyota,4Runner,$25579.80
Kia,Sportage,$14176.34
Nissan,200SX,$25554.45
Ford,Escort,$49602.81
Subaru,Tribeca,$17298.05
Toyota,Corolla,$41797.65
Chevrolet,Silverado 3500,$40041.04
Volvo,XC90,$39524.98
Plymouth,Laser,$43881.98
Mitsubishi,GTO,$33711.36
Dodge,Ram 3500 Club,$40784.28
Dodge,Ram 1500 Club,$27261.17
Lincoln,Navigator,$15184.83
Toyota,TundraMax,$24449.81
Mitsubishi,Outlander,$27334.60
GMC,Sierra 3500,$43298.11
Lamborghini,Diablo,$48232.46
Mitsubishi,Galant,$10197.56
Mercedes-Benz,600SEC,$45403.28
Lotus,Elise,$25824.51
Buick,Rendezvous,$27008.88
Mercedes-Benz,CL-Class,$43917.02
Hyundai,Azera,$16552.36
Hyundai,Entourage,$18785.46
Volkswagen,Cabriolet,$19445.46
Jeep,Compass,$44976.79
Jaguar,XJ Series,$24457.38
BMW,X5,$45211.99
Mercedes-Benz,R-Class,$19572.44
Chevrolet,Camaro,$47253.78
Chevrolet,Corvette,$25615.26
Jaguar,XJ Series,$42678.51
Mitsubishi,Pajero,$36781.91
Lotus,Elise,$32080.88
Ford,Bronco II,$34884.00
Oldsmobile,Aurora,$32121.77
Infiniti,Q,$12933.61
Buick,Lucerne,$34098.20
Ford,Mustang,$10738.75
Toyota,Celica,$29328.59
Pontiac,Grand Prix,$17182.43
Porsche,944,$38068.19
Toyota,Tundra,$29461.25
Chrysler,PT Cruiser,$17727.33
Toyota,Supra,$45243.17
Audi,A8,$12580.15
GMC,Yukon XL 2500,$11929.17
BMW,5 Series,$15953.75
GMC,Sonoma,$40513.17
GMC,Jimmy,$32273.28
Audi,A6,$27838.77
Suzuki,Vitara,$15461.05
GMC,Envoy,$43332.40
Mazda,Protege,$14481.24
Nissan,200SX,$15460.85
Mazda,B-Series Plus,$37127.40
Chrysler,Town & Country,$48090.70
Infiniti,QX56,$42323.81
Pontiac,G6,$10335.06
Honda,CR-V,$42572.21
Toyota,Tacoma,$34734.53
Chrysler,Town & Country,$37780.85
Ford,Mustang,$48030.26
Lotus,Evora,$40448.56
GMC,Sierra 2500,$19598.13
Ford,Aerostar,$22956.25
Ford,F-Series Super Duty,$46382.13
Fiat,Nuova 500,$27850.66
BMW,X6,$21187.42
Porsche,928,$17589.21
Bentley,Continental,$43092.67
Eagle,Talon,$34557.03
Chrysler,Sebring,$30402.73
Chevrolet,Monte Carlo,$42352.67
Chevrolet,Avalanche 2500,$16802.82
Dodge,Stealth,$45011.98
Volkswagen,rio,$36235.12
Ford,Tempo,$23055.55
Oldsmobile,Aurora,$28015.52
Porsche,944,$28147.37
Buick,Estate,$40561.64
Volkswagen,Passat,$40382.97
Chevrolet,S10,$37052.70
Mazda,Mazda6 5-Door,$12191.51
Kia,Rio,$30413.61
Suzuki,Grand Vitara,$16586.57
Ford,Escape,$31471.23
GMC,Savana 1500,$20908.00
Toyota,Matrix,$31259.31
Cadillac,Escalade EXT,$47910.76
Ford,F150,$24856.80
Mazda,626,$42486.68
Mercury,Mariner,$17295.94
Chevrolet,Volt,$23175.78
Chrysler,PT Cruiser,$22733.12
Land Rover,Range Rover,$36287.41
Honda,Civic,$45059.51
Volkswagen,Jetta,$17028.49
Dodge,Caravan,$19854.56
GMC,Rally Wagon 3500,$27459.77
Ford,Focus,$44804.18
Volkswagen,Routan,$14302.39
Lexus,ES,$43256.81
Jaguar,XK Series,$10184.89
Ford,Windstar,$22571.20
GMC,Yukon XL 2500,$35093.71
Mercury,Grand Marquis,$22918.73
Mercury,Grand Marquis,$35391.32
Ford,Explorer,$23796.14
Suzuki,SJ,$11564.11
Mitsubishi,Montero,$39527.08
BMW,545,$31834.56
Dodge,Dakota,$15395.31
Pontiac,Grand Prix,$49772.96
Pontiac,Montana,$16662.45
Mercedes-Benz,S-Class,$26389.39
GMC,Sierra 1500,$33537.67
Saab,9-7X,$36173.07
Mercedes-Benz,500E,$45419.79
Jeep,Cherokee,$48185.07
Volvo,S80,$33433.46
Chevrolet,Suburban 2500,$16346.13
Mazda,B-Series,$41838.18
Volkswagen,Jetta,$11116.50
Chevrolet,Cruze,$21283.11
Honda,Insight,$29163.89
Ford,Econoline E350,$10742.54
Mercedes-Benz,Sprinter 2500,$14888.87
BMW,530,$35450.81
Mercury,Monterey,$36008.62
Mazda,CX-7,$44766.33
Ford,Crown Victoria,$46712.32
Chevrolet,Colorado,$32219.58
Suzuki,Reno,$10882.16
Subaru,Impreza,$18582.28
Volvo,850,$21571.37
Volvo,V70,$13305.55
Audi,A8,$16958.02
Mercedes-Benz,300SE,$32880.71
Porsche,911,$13147.32
Ford,Fusion,$21652.65
GMC,1500,$26700.92
Toyota,Avalon,$19362.13
Porsche,Cayenne,$25269.88
Mercedes-Benz,W201,$17344.06
